Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
Germany,52207,13,Mid,7,Flexible,Retail Services,100 - 499,Medium,Employed,Developer,Secondary school ,25-34 
Germany,69609,8,Mid,8,Hybrid-InPerson,Insurance,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,205379,26,Senior,8,Remote,Software Development,500 - 999,Medium,Employed,Other,Bachelors,35-44
Germany,43297,8,Mid,6,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Secondary school ,18-24
Republic of North Macedonia,85000,17,Senior,10,Remote,Supply Chain,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Australia,84512,15,Mid,3,Hybrid-InPerson,Banking Services,<20,Small,Employed,Developer,Secondary school ,35-44
United States of America,221000,25,Senior,10,Remote,Software Development,10000+,Large,Employed,Developer,Secondary school ,45-54 
New Zealand,135530,19,Senior,8,Remote,Software Development,<20,Small,Employed,Developer,Professional,35-44
United States of America,80000,9,Mid,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
New Zealand,90,45,Senior,10,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Some college,55-64
Netherlands,7657,23,Senior,6,Hybrid-InPerson,Manufacturing,1000 - 4999,Medium,Employed,Developer,Masters,35-44
New Zealand,87341,45,Senior,7,Remote,Software Development,<20,Small,Employed,Developer,Associate,55-64
Netherlands,83531,16,Senior,7,Flexible,Higher Education,1000 - 4999,Medium,Employed,Developer,Masters,35-44
Switzerland,122753,7,Mid,7,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Architect,Bachelors,25-34 
Netherlands,70554,26,Senior,6,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
Germany,111374,21,Senior,4,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United States of America,300000,14,Mid,5,Remote,Retail Services,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,165000,10,Mid,3,Hybrid-Flexible,Other,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United Kingdom of Great Britain and Northern Ireland,36758,10,Mid,4,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,130000,19,Senior,6,Hybrid-InPerson,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,35-44
Estonia,73089,12,Mid,6,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Secondary school ,35-44
Germany,106269,25,Senior,7,Hybrid-Flexible,Other,1000 - 4999,Medium,Employed,Developer,Professional,35-44
Poland,23742,19,Senior,10,Remote,Fintech,100 - 499,Medium,Employed,Developer,Masters,35-44
Finland,62648,12,Mid,6,In-person,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,160000,35,Senior,6,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,55-64
Germany,127616,32,Senior,9,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Masters,45-54 
Israel,141188,16,Senior,8,Hybrid-InPerson,Fintech,20 - 99 ,Small,Employed,Other,Bachelors,35-44
United States of America,140000,13,Mid,7,Hybrid-InPerson,Government,10000+,Large,Employed,Developer,Bachelors,25-34 
Poland,60038,17,Senior,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,112000,8,Mid,7,Hybrid-Flexible,Healthcare,<20,Small,Employed,Developer,Masters,25-34 
United States of America,120000,26,Senior,8,Remote,Retail Services,10000+,Large,Employed,Developer,Bachelors,35-44
Ukraine,56847,9,Mid,8,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Sweden,55346,12,Mid,7,In-person,Software Development,5000 - 9999,Large,Employed,Developer,Masters,25-34 
United States of America,150000,20,Senior,7,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Germany,92812,15,Mid,3,Hybrid-Flexible,Fintech,100 - 499,Medium,Employed,Developer,Masters,25-34 
Spain,77730,17,Senior,8,Remote,Energy,10000+,Large,Employed,Developer,Some college,35-44
Canada,109438,29,Senior,10,Remote,Banking Services,1000 - 4999,Medium,Employed,Other,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,54457,12,Mid,4,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Brazil,109222,17,Senior,6,Remote,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Canada,109438,20,Senior,8,Hybrid-Flexible,Fintech,10000+,Large,Employed,Developer,Some college,35-44
New Zealand,81318,25,Senior,10,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Developer,Masters,35-44
Ukraine,10000,5,Mid,8,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Germany,77730,16,Senior,8,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,200000,43,Senior,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,55-64
Israel,211782,10,Mid,8,In-person,Software Development,10000+,Large,Employed,Developer,Some college,25-34 
United States of America,135000,13,Mid,7,Remote,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,130000,16,Senior,10,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
New Zealand,112580,38,Senior,10,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Architect,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,85769,26,Senior,9,Remote,Software Development,<20,Small,Employed,Architect,Bachelors,35-44
Germany,104413,17,Senior,7,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Masters,35-44
Israel,52946,7,Mid,10,In-person,Other,<20,Small,Employed,Developer,Secondary school ,18-24
Estonia,9281,18,Senior,9,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,35-44
Poland,172199,30,Senior,7,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Professional,35-44
Brazil,18204,50,Senior,8,Remote,Software Development,1,Small,Self-employed,Developer,Some college,65+
Italy,45246,24,Senior,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Professional,35-44
Argentina,38388,35,Senior,6,Remote,Fintech,10000+,Large,Employed,Developer,Bachelors,35-44
Portugal,81210,25,Senior,9,Remote,Computer System Services,500 - 999,Medium,Employed,Developer,Masters,35-44
Poland,68225,20,Senior,7,Remote,Software Development,1,Small,Self-employed,Developer,Masters,25-34 
United Kingdom of Great Britain and Northern Ireland,98022,18,Senior,7,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,148000,23,Senior,7,Remote,Telecomm  Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Germany,96292,24,Senior,8,Hybrid-Flexible,Media Services,20 - 99 ,Small,Employed,Developer,Masters,35-44
Sweden,62893,15,Mid,7,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Some college,35-44
France,139218,20,Senior,8,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Georgia,72600,15,Mid,2,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Italy,16242,8,Mid,7,In-person,Software Development,<20,Small,Employed,Developer,Secondary school ,18-24
Poland,88692,12,Mid,8,Hybrid-Flexible,Supply Chain,10000+,Large,Employed,Architect,Bachelors,25-34 
France,91072,18,Senior,9,Hybrid-InPerson,Manufacturing,10000+,Large,Employed,Architect,Masters,35-44
Finland,83531,17,Senior,9,Remote,Other,<20,Small,Employed,Founder,Secondary school ,25-34 
United States of America,150000,16,Senior,7,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,84000,40,Senior,7,Remote,Higher Education,500 - 999,Medium,Employed,Developer,Masters,45-54 
United States of America,1250000,17,Senior,7,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Australia,97514,45,Senior,5,Hybrid-Flexible,Higher Education,500 - 999,Medium,Employed,Manager,Bachelors,65+
Japan,200356,30,Senior,5,Hybrid-InPerson,Banking Services,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
United States of America,250000,40,Senior,10,In-person,Energy,5000 - 9999,Large,Employed,Data/AI,Masters,45-54 
Australia,110516,25,Senior,8,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Germany,81210,17,Senior,7,Remote,Supply Chain,5000 - 9999,Large,Employed,Developer,Masters,35-44
Pakistan,23177,8,Mid,7,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,128000,26,Senior,10,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Mexico,78959,28,Senior,7,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Data/AI,Bachelors,45-54 
Germany,51046,35,Senior,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,45-54 
Germany,96292,15,Mid,2,Flexible,Other,100 - 499,Medium,Employed,Developer,Masters,35-44
New Zealand,96979,28,Senior,4,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,140000,37,Senior,10,In-person,Manufacturing,<20,Small,Employed,Senior executive,Professional,55-64
Germany,60328,8,Mid,6,Hybrid-Flexible,Media Services,1000 - 4999,Medium,Employed,Data/AI,Professional,35-44
New Zealand,42165,35,Senior,6,In-person,Manufacturing,<20,Small,Employed,Developer,Associate,55-64
United States of America,100000,9,Mid,8,Hybrid-InPerson,Insurance,100 - 499,Medium,Employed,Developer,Professional,35-44
Brazil,27306,23,Senior,3,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,167000,8,Mid,10,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Data/AI,Bachelors,25-34 
Belgium,70,15,Mid,6,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Data/AI,Professional,35-44
Germany,62648,15,Mid,8,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,170000,34,Senior,7,Remote,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Sweden,92812,6,Mid,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,18-24
United States of America,129000,20,Senior,8,Remote,Telecomm  Services,500 - 999,Medium,Employed,Developer,Some college,35-44
Germany,70769,15,Mid,8,Hybrid-Flexible,Banking Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Germany,116015,21,Senior,8,Remote,Software Development,10000+,Large,Employed,Developer,Masters,35-44
United States of America,200000,14,Mid,7,Hybrid-Flexible,Media Services,10000+,Large,Employed,Developer,Bachelors,35-44
Brazil,41868,10,Mid,8,Hybrid-Flexible,Banking Services,10000+,Large,Employed,Data/AI,Masters,35-44
Croatia,46406,13,Mid,6,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
New Zealand,67464,9,Mid,9,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Developer,Masters,25-34 
Greece,16242,20,Senior,5,In-person,Government,20 - 99 ,Small,Employed,Developer,Secondary school ,25-34 
United Kingdom of Great Britain and Northern Ireland,62625,8,Mid,9,Flexible,Other,5000 - 9999,Large,Employed,Developer,Bachelors,45-54 
Canada,145917,40,Senior,10,Hybrid-Flexible,Software Development,10000+,Large,Employed,Data/AI,Masters,55-64
Romania,49625,11,Mid,4,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,240000,7,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
United States of America,102000,13,Mid,7,Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Australia,123518,40,Senior,4,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
United States of America,143000,28,Senior,8,Remote,Telecomm  Services,100 - 499,Medium,Employed,Data/AI,Professional,55-64
United States of America,120000,13,Mid,10,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Spain,40605,25,Senior,3,Remote,Software Development,<20,Small,Employed,Developer,Masters,35-44
Romania,49625,15,Mid,8,Hybrid-Flexible,Banking Services,10000+,Large,Employed,Developer,Masters,25-34 
Poland,35477,8,Mid,6,Remote,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,104000,17,Senior,5,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,136141,22,Senior,5,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Masters,35-44
Canada,87550,20,Senior,6,Flexible,Fintech,<20,Small,Employed,Developer,Some college,45-54 
United Kingdom of Great Britain and Northern Ireland,157243,33,Senior,6,Remote,Retail Services,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Ukraine,47932,7,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Data/AI,Masters,18-24
Greece,58007,30,Senior,5,Remote,Fintech,100 - 499,Medium,Employed,Developer,Associate,45-54 
Belgium,63808,12,Mid,7,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Netherlands,82370,23,Senior,8,Hybrid-Flexible,Higher Education,5000 - 9999,Large,Employed,Other,Masters,35-44
Germany,129936,40,Senior,8,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Architect,Bachelors,55-64
Italy,41765,8,Mid,7,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Some college,18-24
United States of America,135000,12,Mid,4,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United States of America,200000,13,Mid,4,Hybrid-InPerson,Higher Education,100 - 499,Medium,Employed,Developer,Some college,35-44
Denmark,97511,28,Senior,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Lithuania,40605,24,Senior,8,Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,1200000,24,Senior,3,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,149756,15,Mid,4,Flexible,Media Services,10000+,Large,Employed,Architect,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,238248,30,Senior,3,Flexible,Software Development,10000+,Large,Employed,Data/AI,Masters,35-44
United States of America,70000,9,Mid,7,Hybrid-InPerson,Healthcare,100 - 499,Medium,Employed,Research,Professional,35-44
France,60328,8,Mid,6,Hybrid-InPerson,Media Services,1000 - 4999,Medium,Employed,Data/AI,Masters,25-34 
Germany,73159,28,Senior,8,Remote,Media Services,100 - 499,Medium,Employed,Developer,Associate,35-44
United States of America,400000,30,Senior,8,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,45-54 
United States of America,240000,17,Senior,7,Flexible,Healthcare,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
Germany,87011,30,Senior,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,45-54 
Germany,87011,28,Senior,7,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,245000,12,Mid,6,Hybrid-Flexible,Software Development,10000+,Large,Employed,Data/AI,Masters,35-44
Canada,72958,20,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Primary school,45-54 
United States of America,100000,10,Mid,6,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Bachelors,18-24
United States of America,250000,20,Senior,9,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,115000,14,Mid,9,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,150000,33,Senior,6,Flexible,Computer System Services,100 - 499,Medium,Employed,Developer,Masters,35-44
Canada,204283,20,Senior,2,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Bulgaria,35584,35,Senior,8,Hybrid-InPerson,Media Services,20 - 99 ,Small,Employed,Developer,Masters,45-54 
Mexico,4106,3,Mid,7,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
Australia,169024,18,Senior,6,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Some college,25-34 
Canada,94846,15,Mid,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United States of America,100000,25,Senior,5,In-person,Supply Chain,<20,Small,Employed,Architect,Some college,35-44
United States of America,500000,40,Senior,10,Remote,Software Development,20 - 99 ,Small,Employed,Architect,Some college,55-64
Hungary,36435,6,Mid,10,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,250000,12,Mid,7,Hybrid-Flexible,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Italy,44086,5,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
